customer_id,region,contract_type,monthly_price,tenure_months,signup_date,active
C00455,Bilbao,movil_solo,14.95,61,2020-10-10,1
C00456,Valencia,fibra_300,29.95,12,2024-10-28,0
C00457,Madrid,fibra_300,31.95,28,2023-06-18,1
C00458,Barcelona,fibra_300,29.95,84,2018-11-25,1
C00459,Zaragoza,fibra_600,39.95,17,2024-05-20,1
C00460,Madrid,fibra_300,29.95,78,2019-05-12,1
C00461,Zaragoza,fibra_1000,49.95,49,2021-09-26,1
C00462,Valencia,fibra_300,29.95,39,2022-07-29,1
C00463,Bilbao,movil_solo,16.95,14,2024-09-07,1
C00464,Zaragoza,fibra_1000,51.95,83,2018-12-19,1
C00465,Valencia,fibra_600,39.95,9,2025-01-25,1
C00466,Zaragoza,fibra_1000,49.95,34,2022-12-27,1
C00467,Zaragoza,fibra_1000,49.95,20,2024-02-24,1
C00468,Madrid,convergente,59.95,41,2022-05-30,1
C00469,Madrid,movil_solo,14.95,34,2022-12-18,1
C00470,Sevilla,fibra_600,41.95,74,2019-09-08,1
C00471,Zaragoza,fibra_300,34.95,69,2020-02-11,1
C00472,Zaragoza,fibra_1000,51.95,39,2022-07-23,1
C00473,Zaragoza,convergente,59.95,38,2022-09-15,1
C00474,Zaragoza,fibra_1000,54.95,72,2019-11-09,1
C00475,Zaragoza,fibra_1000,54.95,12,2024-10-30,1
C00476,Zaragoza,fibra_1000,49.95,43,2022-04-10,1
C00477,Valencia,movil_solo,12.95,61,2020-10-27,1
C00478,Bilbao,convergente,61.95,10,2024-12-21,1
C00479,Bilbao,fibra_600,44.95,49,2021-10-07,1
C00480,Madrid,fibra_300,29.95,26,2023-09-03,1
C00481,Bilbao,movil_solo,14.95,41,2022-05-24,1
C00482,Madrid,movil_solo,14.95,81,2019-03-03,1
C00483,Madrid,fibra_600,39.95,36,2022-11-11,1
C00484,Barcelona,convergente,59.95,63,2020-08-04,1
C00485,Madrid,fibra_300,31.95,56,2021-03-07,1
C00486,Sevilla,movil_solo,14.95,1,2025-10-01,1
C00487,Zaragoza,fibra_1000,47.95,42,2022-04-27,1
C00488,Barcelona,fibra_600,44.95,1,2025-09-12,1
C00489,Barcelona,fibra_1000,49.95,17,2024-06-06,1
C00490,Bilbao,fibra_1000,49.95,9,2025-01-09,0
C00491,Valencia,movil_solo,19.95,67,2020-04-12,1
C00492,Sevilla,fibra_300,29.95,63,2020-08-18,1
C00493,Barcelona,movil_solo,12.95,30,2023-05-09,1
C00494,Barcelona,fibra_300,34.95,3,2025-07-16,1
C00495,Madrid,fibra_1000,54.95,84,2018-11-13,0
C00496,Zaragoza,fibra_1000,51.95,80,2019-04-06,1
C00497,Madrid,fibra_600,44.95,3,2025-08-02,1
C00498,Sevilla,movil_solo,14.95,16,2024-06-22,1
C00499,Zaragoza,fibra_300,29.95,81,2019-03-08,1
C00500,Zaragoza,fibra_600,44.95,67,2020-04-23,1
